plots_cells,plots_size,plots_size_L0,plots_size_L1,plots_size_L2,caseID,caseDir
1835008,5.44690336e8,4.99505305e8,4.92252e6,1.0519105e7,case4_cfl5_maxl4,sedov_2d_cyl_in_cart_plt00060
2097152,6.32474995e8,5.7086321e8,6.043535e6,1.3958659e7,case4_cfl5_maxl4,sedov_2d_cyl_in_cart_plt00070
2359296,7.25808652e8,6.42221115e8,7.799836e6,1.8442706e7,case4_cfl5_maxl4,sedov_2d_cyl_in_cart_plt00080
2621440,8.29347469e8,7.1357902e8,1.0322081e7,2.5449026e7,case4_cfl5_maxl4,sedov_2d_cyl_in_cart_plt00090
2883584,9.39668627e8,7.84936925e8,1.2844325e7,3.393655e7,case4_cfl5_maxl4,sedov_2d_cyl_in_cart_plt00100
3145728,1.058333017e9,8.5629483e8,1.6283803e7,4.4025583e7,case4_cfl5_maxl4,sedov_2d_cyl_in_cart_plt00110
3407872,1.185167389e9,9.27652735e8,1.9723288e7,5.5877886e7,case4_cfl5_maxl4,sedov_2d_cyl_in_cart_plt00120
3670016,1.321912567e9,9.9901064e8,2.4207249e7,6.9610233e7,case4_cfl5_maxl4,sedov_2d_cyl_in_cart_plt00130
3932160,1.468167239e9,1.070368545e9,2.8691198e7,8.533257e7,case4_cfl5_maxl4,sedov_2d_cyl_in_cart_plt00140
4194304,1.625827145e9,1.141726452e9,3.4374324e7,1.03213487e8,case4_cfl5_maxl4,sedov_2d_cyl_in_cart_plt00150
4456448,1.78773472e9,1.213084357e9,4.0057457e7,1.21094397e8,case4_cfl5_maxl4,sedov_2d_cyl_in_cart_plt00160
4718592,1.960883685e9,1.284442262e9,4.5740596e7,1.41295623e8,case4_cfl5_maxl4,sedov_2d_cyl_in_cart_plt00170
4980736,2.147262452e9,1.355800167e9,5.2746754e7,1.63933961e8,case4_cfl5_maxl4,sedov_2d_cyl_in_cart_plt00180
5242880,2.346228859e9,1.427158072e9,5.9752902e7,1.89133167e8,case4_cfl5_maxl4,sedov_2d_cyl_in_cart_plt00190
5505024,2.55463911e9,1.498515977e9,6.824025e7,2.17072118e8,case4_cfl5_maxl4,sedov_2d_cyl_in_cart_plt00200
262144,7.3006444e7,7.1357875e7,633563.0,1.004312e6,case4_cfl6_maxl2,sedov_2d_cyl_in_cart_plt00000
524288,1.46129628e8,1.4271578e8,1.267155e6,2.125351e6,case4_cfl6_maxl2,sedov_2d_cyl_in_cart_plt00010
786432,2.19252808e8,2.14073685e8,1.900747e6,3.246386e6,case4_cfl6_maxl2,sedov_2d_cyl_in_cart_plt00020
1048576,2.92375976e8,2.85431586e8,2.534339e6,4.367413e6,case4_cfl6_maxl2,sedov_2d_cyl_in_cart_plt00030
1310720,3.65993716e8,3.56789491e8,3.167932e6,5.982776e6,case4_cfl6_maxl2,sedov_2d_cyl_in_cart_plt00040
1572864,4.39752498e8,4.28147396e8,3.801525e6,7.739116e6,case4_cfl6_maxl2,sedov_2d_cyl_in_cart_plt00050
1835008,5.15682145e8,4.99505301e8,4.922536e6,1.1178658e7,case4_cfl6_maxl2,sedov_2d_cyl_in_cart_plt00060
2097152,5.93291607e8,5.70863208e8,6.678838e6,1.5662681e7,case4_cfl6_maxl2,sedov_2d_cyl_in_cart_plt00070
2359296,6.74189766e8,6.42221113e8,9.201084e6,2.2668979e7,case4_cfl6_maxl2,sedov_2d_cyl_in_cart_plt00080
2621440,7.56569711e8,7.13579018e8,1.1723323e7,3.1156486e7,case4_cfl6_maxl2,sedov_2d_cyl_in_cart_plt00090
2883584,8.41468248e8,7.84936923e8,1.5162807e7,4.1245478e7,case4_cfl6_maxl2,sedov_2d_cyl_in_cart_plt00100
3145728,9.31055227e8,8.56294828e8,1.9646763e7,5.4977816e7,case4_cfl6_maxl2,sedov_2d_cyl_in_cart_plt00110
3407872,1.02263166e9,9.27652733e8,2.4130718e7,7.0700161e7,case4_cfl6_maxl2,sedov_2d_cyl_in_cart_plt00120
3670016,1.117565936e9,9.99010638e8,2.9813851e7,8.8581075e7,case4_cfl6_maxl2,sedov_2d_cyl_in_cart_plt00130
3932160,1.214821566e9,1.070368543e9,3.5496998e7,1.08782284e8,case4_cfl6_maxl2,sedov_2d_cyl_in_cart_plt00140
4194304,1.315837061e9,1.141726448e9,4.2503158e7,1.31420631e8,case4_cfl6_maxl2,sedov_2d_cyl_in_cart_plt00150
4456448,1.419413198e9,1.213084353e9,4.9509315e7,1.56619837e8,case4_cfl6_maxl2,sedov_2d_cyl_in_cart_plt00160
4718592,1.527210909e9,1.284442258e9,5.7996654e7,1.84558788e8,case4_cfl6_maxl2,sedov_2d_cyl_in_cart_plt00170
4980736,1.637862335e9,1.355800163e9,6.6483992e7,2.15350987e8,case4_cfl6_maxl2,sedov_2d_cyl_in_cart_plt00180
5242880,1.753085848e9,1.427158068e9,7.657285e7,2.49114903e8,case4_cfl6_maxl2,sedov_2d_cyl_in_cart_plt00190
5505024,1.871465964e9,1.498515973e9,8.6661713e7,2.86034699e8,case4_cfl6_maxl2,sedov_2d_cyl_in_cart_plt00200
262144,7.564582e7,7.1357875e7,633563.0,1.121009e6,case4_cfl6_maxl4,sedov_2d_cyl_in_cart_plt00000
524288,1.51291875e8,1.4271578e8,1.267151e6,2.242044e6,case4_cfl6_maxl4,sedov_2d_cyl_in_cart_plt00010
